model,domain,task_type,trial_number,delta_rci,source_folder
claude_opus,medical,Type2_Closed,2,0.3303,medical_results
claude_opus,medical,Type2_Closed,3,0.344,medical_results
claude_opus,medical,Type2_Closed,4,0.3551,medical_results
claude_opus,medical,Type2_Closed,5,0.3565,medical_results
claude_opus,medical,Type2_Closed,6,0.3379,medical_results
claude_opus,medical,Type2_Closed,7,0.3625,medical_results
claude_opus,medical,Type2_Closed,8,0.3489,medical_results
claude_opus,medical,Type2_Closed,9,0.3455,medical_results
claude_opus,medical,Type2_Closed,10,0.3346,medical_results
claude_opus,medical,Type2_Closed,11,0.3424,medical_results
claude_opus,medical,Type2_Closed,12,0.3356,medical_results
claude_opus,medical,Type2_Closed,13,0.3601,medical_results
claude_opus,medical,Type2_Closed,14,0.3521,medical_results
claude_opus,medical,Type2_Closed,15,0.3558,medical_results
claude_opus,medical,Type2_Closed,16,0.3385,medical_results
claude_opus,medical,Type2_Closed,17,0.3668,medical_results
claude_opus,medical,Type2_Closed,18,0.3395,medical_results
claude_opus,medical,Type2_Closed,19,0.3333,medical_results
claude_opus,medical,Type2_Closed,20,0.3507,medical_results
claude_opus,medical,Type2_Closed,21,0.3551,medical_results
claude_opus,medical,Type2_Closed,22,0.3424,medical_results
claude_opus,medical,Type2_Closed,23,0.3591,medical_results
claude_opus,medical,Type2_Closed,24,0.3554,medical_results
claude_opus,medical,Type2_Closed,25,0.3415,medical_results
claude_opus,medical,Type2_Closed,26,0.3381,medical_results
claude_opus,medical,Type2_Closed,27,0.3312,medical_results
claude_opus,medical,Type2_Closed,28,0.354,medical_results
claude_opus,medical,Type2_Closed,29,0.34038396179676056,medical_results
claude_opus,medical,Type2_Closed,30,0.3547442714373271,medical_results
claude_opus,medical,Type2_Closed,31,0.3625,medical_results
claude_opus,medical,Type2_Closed,32,0.359,medical_results
claude_opus,medical,Type2_Closed,33,0.3269,medical_results
claude_opus,medical,Type2_Closed,34,0.3297902017831801,medical_results
claude_opus,medical,Type2_Closed,35,0.35710993011792513,medical_results
claude_opus,medical,Type2_Closed,36,0.3119,medical_results
claude_opus,medical,Type2_Closed,37,0.3118,medical_results
claude_opus,medical,Type2_Closed,38,0.3334,medical_results
claude_opus,medical,Type2_Closed,39,0.2942,medical_results
claude_opus,medical,Type2_Closed,40,0.3143,medical_results
claude_opus,medical,Type2_Closed,41,0.3125,medical_results
claude_opus,medical,Type2_Closed,42,0.3135,medical_results
claude_opus,medical,Type2_Closed,43,0.3237,medical_results
claude_opus,medical,Type2_Closed,44,0.3044,medical_results
claude_opus,medical,Type2_Closed,45,0.3351,medical_results
claude_opus,medical,Type2_Closed,46,0.3061,medical_results
claude_opus,medical,Type2_Closed,47,0.3203,medical_results
claude_opus,medical,Type2_Closed,48,0.33424964845180505,medical_results
claude_opus,medical,Type2_Closed,49,0.3345601260662078,medical_results
claude_opus,medical,Type2_Closed,50,0.3394994288682939,medical_results
gemini_flash,medical,Type2_Closed,1,-0.12199757337951711,medical_results
gemini_flash,medical,Type2_Closed,2,-0.10200599634447427,medical_results
gemini_flash,medical,Type2_Closed,3,-0.1488571954546033,medical_results
gemini_flash,medical,Type2_Closed,4,-0.14585255699522592,medical_results
gemini_flash,medical,Type2_Closed,5,-0.10793411267702713,medical_results
gemini_flash,medical,Type2_Closed,6,-0.11063579842116655,medical_results
gemini_flash,medical,Type2_Closed,7,-0.12052360569019382,medical_results
gemini_flash,medical,Type2_Closed,8,-0.10855997392225847,medical_results
gemini_flash,medical,Type2_Closed,9,-0.12686309574858412,medical_results
gemini_flash,medical,Type2_Closed,10,-0.16887884339766568,medical_results
gemini_flash,medical,Type2_Closed,11,-0.17524961428747676,medical_results
gemini_flash,medical,Type2_Closed,12,-0.11459176183855657,medical_results
gemini_flash,medical,Type2_Closed,13,-0.11969749719562373,medical_results
gemini_flash,medical,Type2_Closed,14,-0.1264019068600194,medical_results
gemini_flash,medical,Type2_Closed,15,-0.14595504053489106,medical_results
gemini_flash,medical,Type2_Closed,16,-0.15786998974381639,medical_results
gemini_flash,medical,Type2_Closed,17,-0.14102854497689998,medical_results
gemini_flash,medical,Type2_Closed,18,-0.13528381108750476,medical_results
gemini_flash,medical,Type2_Closed,19,-0.0829902503302411,medical_results
gemini_flash,medical,Type2_Closed,20,-0.11048485157514154,medical_results
